year;state;month;number;date;;
1998;Acre;Jan;0;1998;Janeiro;
1999;Acre;Jan;0;1999;Janeiro;
2000;Acre;Jan;0;2000;Janeiro;
2001;Acre;Jan;0;2001;Janeiro;
2002;Acre;Jan;0;2002;Janeiro;
2003;Acre;Jan;10;2003;Janeiro;
2004;Acre;Jan;0;2004;Janeiro;
2005;Acre;Jan;12;2005;Janeiro;
2006;Acre;Jan;4;2006;Janeiro;
2007;Acre;Jan;0;2007;Janeiro;
2008;Acre;Jan;0;2008;Janeiro;
2009;Acre;Jan;0;2009;Janeiro;
2010;Acre;Jan;1;2010;Janeiro;
2011;Acre;Jan;0;2011;Janeiro;
2012;Acre;Jan;0;2012;Janeiro;
2013;Acre;Jan;0;2013;Janeiro;
2014;Acre;Jan;0;2014;Janeiro;
2015;Acre;Jan;1;2015;Janeiro;
2016;Acre;Jan;12;2016;Janeiro;
2017;Acre;Jan;0;2017;Janeiro;
1998;Acre;Feb;0;1998;Fevereiro;
1999;Acre;Feb;0;1999;Fevereiro;
2000;Acre;Feb;0;2000;Fevereiro;
2001;Acre;Feb;0;2001;Fevereiro;
2002;Acre;Feb;1;2002;Fevereiro;
2003;Acre;Feb;0;2003;Fevereiro;
2004;Acre;Feb;3;2004;Fevereiro;
2005;Acre;Feb;0;2005;Fevereiro;
2006;Acre;Feb;0;2006;Fevereiro;
2007;Acre;Feb;5;2007;Fevereiro;
2008;Acre;Feb;0;2008;Fevereiro;
2009;Acre;Feb;2;2009;Fevereiro;
2010;Acre;Feb;0;2010;Fevereiro;
2011;Acre;Feb;0;2011;Fevereiro;
2012;Acre;Feb;0;2012;Fevereiro;
2013;Acre;Feb;0;2013;Fevereiro;
2014;Acre;Feb;0;2014;Fevereiro;
2015;Acre;Feb;2;2015;Fevereiro;
2016;Acre;Feb;5;2016;Fevereiro;
2017;Acre;Feb;1;2017;Fevereiro;
1998;Acre;Mar;0;1998;Março;
1999;Acre;Mar;0;1999;Março;
2000;Acre;Mar;11;2000;Março;
2001;Acre;Mar;0;2001;Março;
2002;Acre;Mar;0;2002;Março;
2003;Acre;Mar;0;2003;Março;
2004;Acre;Mar;0;2004;Março;
2005;Acre;Mar;3;2005;Março;
2006;Acre;Mar;0;2006;Março;
2007;Acre;Mar;2;2007;Março;
2008;Acre;Mar;0;2008;Março;
2009;Acre;Mar;1;2009;Março;
2010;Acre;Mar;0;2010;Março;
2011;Acre;Mar;0;2011;Março;
2012;Acre;Mar;1;2012;Março;
2013;Acre;Mar;2;2013;Março;
2014;Acre;Mar;1;2014;Março;
2015;Acre;Mar;2;2015;Março;
2016;Acre;Mar;0;2016;Março;
2017;Acre;Mar;0;2017;Março;
1998;Acre;Apr;0;1998;Abril;
1999;Acre;Apr;0;1999;Abril;
2000;Acre;Apr;1;2000;Abril;
2001;Acre;Apr;0;2001;Abril;
2002;Acre;Apr;0;2002;Abril;
2003;Acre;Apr;1;2003;Abril;
2004;Acre;Apr;2;2004;Abril;
2005;Acre;Apr;1;2005;Abril;
2006;Acre;Apr;0;2006;Abril;
2007;Acre;Apr;0;2007;Abril;
2008;Acre;Apr;0;2008;Abril;
2009;Acre;Apr;0;2009;Abril;
2010;Acre;Apr;3;2010;Abril;
2011;Acre;Apr;2;2011;Abril;
2012;Acre;Apr;1;2012;Abril;
2013;Acre;Apr;19;2013;Abril;
2014;Acre;Apr;7;2014;Abril;
2015;Acre;Apr;3;2015;Abril;
2016;Acre;Apr;0;2016;Abril;
2017;Acre;Apr;1;2017;Abril;
1998;Acre;May;0;1998;Maio;
1999;Acre;May;0;1999;Maio;
2000;Acre;May;1;2000;Maio;
2001;Acre;May;0;2001;Maio;
2002;Acre;May;0;2002;Maio;
2003;Acre;May;6;2003;Maio;
2004;Acre;May;7;2004;Maio;
2005;Acre;May;2;2005;Maio;
2006;Acre;May;8;2006;Maio;
2007;Acre;May;1;2007;Maio;
2008;Acre;May;0;2008;Maio;
2009;Acre;May;3;2009;Maio;
2010;Acre;May;9;2010;Maio;
2011;Acre;May;3;2011;Maio;
2012;Acre;May;3;2012;Maio;
2013;Acre;May;4;2013;Maio;
2014;Acre;May;1;2014;Maio;
2015;Acre;May;2;2015;Maio;
2016;Acre;May;21;2016;Maio;
2017;Acre;May;10;2017;Maio;
1998;Acre;June;3;1998;Junho;
1999;Acre;June;0;1999;Junho;
2000;Acre;June;1;2000;Junho;
2001;Acre;June;1;2001;Junho;
2002;Acre;June;0;2002;Junho;
2003;Acre;June;0;2003;Junho;
2004;Acre;June;5;2004;Junho;
2005;Acre;June;27;2005;Junho;
2006;Acre;June;1;2006;Junho;
2007;Acre;June;4;2007;Junho;
2008;Acre;June;0;2008;Junho;
2009;Acre;June;0;2009;Junho;
2010;Acre;June;1;2010;Junho;
2011;Acre;June;10;2011;Junho;
2012;Acre;June;7;2012;Junho;
2013;Acre;June;8;2013;Junho;
2014;Acre;June;17;2014;Junho;
2015;Acre;June;40;2015;Junho;
2016;Acre;June;87;2016;Junho;
2017;Acre;June;45;2017;Junho;
1998;Acre;July;37;1998;Julho;
1999;Acre;July;1;1999;Julho;
2000;Acre;July;1;2000;Julho;
2001;Acre;July;3;2001;Julho;
2002;Acre;July;39;2002;Julho;
2003;Acre;July;168;2003;Julho;
2004;Acre;July;42;2004;Julho;
2005;Acre;July;368;2005;Julho;
2006;Acre;July;33;2006;Julho;
2007;Acre;July;29;2007;Julho;
2008;Acre;July;41;2008;Julho;
2009;Acre;July;31;2009;Julho;
2010;Acre;July;126;2010;Julho;
2011;Acre;July;93;2011;Julho;
2012;Acre;July;71;2012;Julho;
2013;Acre;July;54;2013;Julho;
2014;Acre;July;60;2014;Julho;
2015;Acre;July;109;2015;Julho;
2016;Acre;July;533;2016;Julho;
2017;Acre;July;457;2017;Julho;
1998;Acre;Aug;130;1998;Agosto;
1999;Acre;Aug;63;1999;Agosto;
2000;Acre;Aug;136;2000;Agosto;
2001;Acre;Aug;396;2001;Agosto;
2002;Acre;Aug;728;2002;Agosto;
2003;Acre;Aug;1.976;2003;Agosto;
2004;Acre;Aug;645;2004;Agosto;
2005;Acre;Aug;4.198;2005;Agosto;
2006;Acre;Aug;839;2006;Agosto;
2007;Acre;Aug;960;2007;Agosto;
2008;Acre;Aug;445;2008;Agosto;
2009;Acre;Aug;194;2009;Agosto;
2010;Acre;Aug;1.682;2010;Agosto;
2011;Acre;Aug;425;2011;Agosto;
2012;Acre;Aug;739;2012;Agosto;
2013;Acre;Aug;679;2013;Agosto;
2014;Acre;Aug;1.1;2014;Agosto;
2015;Acre;Aug;1.397;2015;Agosto;
2016;Acre;Aug;2.188;2016;Agosto;
2017;Acre;Aug;1.493;2017;Agosto;
1998;Acre;Sept;509;1998;Setembro;
1999;Acre;Sept;209;1999;Setembro;
2000;Acre;Sept;265;2000;Setembro;
2001;Acre;Sept;290;2001;Setembro;
2002;Acre;Sept;1.949;2002;Setembro;
2003;Acre;Sept;3.942;2003;Setembro;
2004;Acre;Sept;1.978;2004;Setembro;
2005;Acre;Sept;4.253;2005;Setembro;
2006;Acre;Sept;2.37;2006;Setembro;
2007;Acre;Sept;2.08;2007;Setembro;
2008;Acre;Sept;1.666;2008;Setembro;
2009;Acre;Sept;1.265;2009;Setembro;
2010;Acre;Sept;2.531;2010;Setembro;
2011;Acre;Sept;1.204;2011;Setembro;
2012;Acre;Sept;1.996;2012;Setembro;
2013;Acre;Sept;2.136;2013;Setembro;
2014;Acre;Sept;2.175;2014;Setembro;
2015;Acre;Sept;2.928;2015;Setembro;
2016;Acre;Sept;3.586;2016;Setembro;
2017;Acre;Sept;3.429;2017;Setembro;
1998;Acre;Oct;44;1998;Outubro;
1999;Acre;Oct;60;1999;Outubro;
2000;Acre;Oct;18;2000;Outubro;
2001;Acre;Oct;137;2001;Outubro;
2002;Acre;Oct;687;2002;Outubro;
2003;Acre;Oct;740;2003;Outubro;
